Number,Cell,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
752,20190412_sample_3,20190412_slice_3,4/12/2019,Sample 3,mouse_UVVCP,1/31/2019,71,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1859189,105414,148362,7,7569,IT,L6 IT_2,0.55,L6 IT_2 (55.3%),,,,,,,,,,,
753,20190412_sample_6,20190412_slice_6,4/12/2019,Sample 6,mouse_UVVCP,1/31/2019,71,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,447853,167014,70951,7,4124,Pvalb,Pvalb Calb1_1,0.38,Pvalb Calb1_1 (37.9%),,,,,,,,,,,
754,20190415_sample_1,20190415_slice_1,4/15/2019,Sample 1,mouse_WYKLJ,1/31/2019,74,F,Pvalb-Cre/wt; Ai9/wt,6,5,PV+,2546049,185409,232909,7,7070,Pvalb,Pvalb Calb1_1,0.45,Pvalb Calb1_1 (45.4%),,,,,,,,,,,
755,20190415_sample_3,20190415_slice_3,4/15/2019,Sample 3,mouse_WYKLJ,1/31/2019,74,F,Pvalb-Cre/wt; Ai9/wt,6,5,PV-,2040916,332707,111656,7,5129,CT,L6 CT Grp,0.45,L6 CT Grp (45.4%),,,,,,,,,,,
756,20190415_sample_4,20190415_slice_4,4/15/2019,Sample 4,mouse_WYKLJ,1/31/2019,74,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1234613,171384,197988,7,11051,IT,L6 IT_2,0.75,L6 IT_2 (74.6%),,,,,,,,,,,
757,20190415_sample_6,20190415_slice_6,4/15/2019,Sample 6,mouse_WYKLJ,1/31/2019,74,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,3529663,95348,130330,7,7493,CT,L6 CT Cpa6,0.72,L6 CT Cpa6 (72.0%),,,,,,,,,,,
758,20190415_sample_8,20190415_slice_8,4/15/2019,Sample 8,mouse_WYKLJ,1/31/2019,74,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1697460,91463,114957,7,11974,Sst,Sst Chodl,1,Sst Chodl (100.0%),Sst Chodl (100.0%),1528,420.71,Fede,20,1231.2,458.1,558.4,1541.184,,
759,20190415_sample_10,20190415_slice_10,4/15/2019,Sample 10,mouse_WYKLJ,1/31/2019,74,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1040178,1889199,305764,7,13731,IT,L6 IT_2,0.78,L6 IT_2 (78.0%),,,,,,,,,,,
760,20190416_sample_3,20190416_slice_3,4/16/2019,Sample 3,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1242961,42431,65626,7,9253,CT,L6 CT Cpa6,0.92,L6 CT Cpa6 (92.1%),,,,,,,,,,,
761,20190416_sample_4,20190416_slice_4,4/16/2019,Sample 4,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1151759,1513176,145697,7,12514,Pvalb,Pvalb Kank4,0.87,Pvalb Kank4 (87.0%),,,,,,,,,,,
762,20190416_sample_5,20190416_slice_5,4/16/2019,Sample 5,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1289169,1574567,156617,7,3243,Sst,Sst Th_3,0.42,Sst Th_3 (42.1%),,,,,,,,,,,
763,20190416_sample_6,20190416_slice_6,4/16/2019,Sample 6,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,386867,223010,71180,7,6199,IT,L6 IT_2,0.78,L6 IT_2 (78.1%),,,,,,,,,,,
764,20190416_sample_7,20190416_slice_7,4/16/2019,Sample 7,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,750015,935723,160431,7,11714,Sncg,Sncg Calb1_2,0.51,Sncg Calb1_2 (50.9%),,,,,,,,,,,
765,20190416_sample_8,20190416_slice_8,4/16/2019,Sample 8,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1601273,1497837,197827,7,6580,Pvalb,Pvalb Kank4,0.44,Pvalb Kank4 (44.3%),,,,,,,,,,,
766,20190416_sample_9,20190416_slice_9,4/16/2019,Sample 9,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,2228942,112979,161647,7,10616,IT,L6 IT_2,0.98,L6 IT_2 (97.9%),L6 IT VISp Penk Col27a1 (63.0%),,,,,,,,,,
767,20190416_sample_10,20190416_slice_10,4/16/2019,Sample 10,mouse_PHFLX,1/1/2019,105,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,2240522,1974447,275610,7,3707,CT,L6 CT Cpa6,0.48,L6 CT Cpa6 (48.1%),,,,,,,,,,,
768,20190417_sample_2,20190417_slice_2,4/17/2019,Sample 2,mouse_UHZDZ,2/6/2019,70,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,2141381,1236939,201202,7,5911,CT,L6b Col6a1,0.7,L6b Col6a1 (69.6%),,,,,,,,,,,
769,20190417_sample_3,20190417_slice_3,4/17/2019,Sample 3,mouse_UHZDZ,2/6/2019,70,F,Sst-IRES-Cre/wt; Ai9/wt,6,5,SST-,1905031,99840,128144,7,4120,CT,L6b Kcnip1,0.84,L6b Kcnip1 (84.0%),,,,,,,,,,,
770,20190417_sample_4,20190417_slice_2,4/17/2019,Sample 4,mouse_UHZDZ,2/6/2019,70,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,849811,81774,80896,7,9913,Sst,Sst Myh8_3,0.73,Sst Myh8_3 (72.6%),,,,,,,,,,,
771,20190417_sample_5,20190417_slice_5,4/17/2019,Sample 5,mouse_UHZDZ,2/6/2019,70,F,Sst-IRES-Cre/wt; Ai9/wt,6,5,SST+,3262090,111222,139315,7,11531,Sst,Sst C1ql3_2,0.65,Sst C1ql3_2 (64.9%),,,,,,,,,,,
772,20190417_sample_9,20190417_slice_6,4/17/2019,Sample 9,mouse_UHZDZ,2/6/2019,70,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,1716340,1921579,285597,7,3785,CT,L6 CT Cpa6,0.67,L6 CT Cpa6 (67.4%),,,,,,,,,,,
773,20190417_sample_10,20190417_slice_6,4/17/2019,Sample 10,mouse_UHZDZ,2/6/2019,70,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1234059,60521,86352,7,10264,Sst,Sst Crhr2_2,0.95,Sst Crhr2_2 (95.1%),Sst Esm1 (100.0%),2008,253.19,Fede,29,957.5,345.5,520.9,1437.684,,
774,20190418_sample_2,20190418_slice_2,4/18/2019,Sample 2,mouse_HZREI,2/6/2019,71,F,Sst-IRES-Cre/wt; Ai9/wt,6,5,SST+,721607,89644,101042,7,2079,Sst,Sst Th_1,0.19,Sst Th_1 (19.1%),,,,,,,,,,,
775,20190418_sample_4,20190418_slice_4,4/18/2019,Sample 4,mouse_HZREI,2/6/2019,71,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,318581,103239,114723,7,6855,CT,L6 CT Cpa6,0.81,L6 CT Cpa6 (80.6%),,,,,,,,,,,
776,20190418_sample_5,20190418_slice_5,4/18/2019,Sample 5,mouse_HZREI,2/6/2019,71,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,2315019,118911,158086,7,13172,IT,L6 IT_1,1,L6 IT_1 (99.7%),L6 IT VISp Penk Fst (100.0%),2255,271.1,Fede,10,1132.5,406.6,542.4,1497.024,y,
777,20190418_sample_7,20190418_slice_7,4/18/2019,Sample 7,mouse_HZREI,2/6/2019,71,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,1998877,3322682,327300,7,12413,CT,L6 CT Cpa6,0.89,L6 CT Cpa6 (88.6%),,,,,,,,,,,
778,20190418_sample_8,20190418_slice_8,4/18/2019,Sample 8,mouse_HZREI,2/6/2019,71,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,3525822,791895,174470,7,3669,Pvalb,Pvalb Calb1_1,0.54,Pvalb Calb1_1 (54.3%),,,,,,,,,,,
779,20190418_sample_9,20190418_slice_9,4/18/2019,Sample 9,mouse_HZREI,2/6/2019,71,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,707423,69924,76935,7,5844,CT,L6b Shisa6_1,0.64,L6b Shisa6_1 (63.7%),,,,,,,,,,,
780,20190418_sample_10,20190418_slice_10,4/18/2019,Sample 10,mouse_HZREI,2/6/2019,71,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,1754950,139832,189697,7,4466,CT,L6 CT Cpa6,0.55,L6 CT Cpa6 (54.6%),,,,,,,,,,,
781,20190422_sample_1,20190422_slice_1,4/22/2019,Sample 1,mouse_DVQIA,2/6/2019,75,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1787419,1242143,215294,7,12003,Pvalb,Pvalb Kank4,0.83,Pvalb Kank4 (82.6%),,,,,,,,,,,
782,20190422_sample_4,20190422_slice_4,4/22/2019,Sample 4,mouse_DVQIA,2/6/2019,75,F,Pvalb-Cre/wt; Ai9/wt,6,5,PV+,2374032,1199034,269223,7,4006,Pvalb,Pvalb Gpr149,0.27,Pvalb Gpr149 (26.6%),,,,,,,,,,,
783,20190422_sample_5,20190422_slice_5,4/22/2019,Sample 5,mouse_DVQIA,2/6/2019,75,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,566223,95519,54196,7,10630,Pvalb,Pvalb Egfem1,0.91,Pvalb Egfem1 (91.4%),,,,,,,,,,,
784,20190422_sample_6,20190422_slice_6,4/22/2019,Sample 6,mouse_DVQIA,2/6/2019,75,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1038896,1257230,168302,7,9392,CT,L6 CT Cpa6,0.86,L6 CT Cpa6 (85.7%),,,,,,,,,,,
785,20190422_sample_7,20190422_slice_7,4/22/2019,Sample 7,mouse_DVQIA,2/6/2019,75,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1691980,1013049,156302,7,5621,IT,L6 IT_2,0.88,L6 IT_2 (87.7%),,,,,,,,,,,
786,20190422_sample_8,20190422_slice_8,4/22/2019,Sample 8,mouse_DVQIA,2/6/2019,75,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1608825,76993,120655,7,11971,Pvalb,Pvalb Gabrg1,1,Pvalb Gabrg1 (100.0%),Pvalb Gabrg1 (100.0%),1801,590,Fede,15,1353.6,478.2,541.3,1493.988,,
787,20190422_sample_10,20190422_slice_10,4/22/2019,Sample 10,mouse_DVQIA,2/6/2019,75,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1757274,1130420,225719,7,11831,CT,L6 CT Cpa6,0.89,L6 CT Cpa6 (89.1%),,,,,,,,,,,
788,20190423_sample_1,20190423_slice_1,4/23/2019,Sample 1,mouse_UTMPM,2/6/2019,76,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1429584,1821845,187601,7,11124,IT,L6 IT_1,0.56,L6 IT_1 (55.9%),,,,,,,,,,,
789,20190423_sample_3,20190423_slice_3,4/23/2019,Sample 3,mouse_UTMPM,2/6/2019,76,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1182542,1138600,166475,7,3854,CT,L6 CT Cpa6,0.73,L6 CT Cpa6 (73.1%),,,,,,,,,,,
790,20190423_sample_5,20190423_slice_5,4/23/2019,Sample 5,mouse_UTMPM,2/6/2019,76,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,871188,80138,107125,7,10108,CT,L6b Ror1,0.79,L6b Ror1 (78.7%),,,,,,,,,,,
791,20190423_sample_7,20190423_slice_7,4/23/2019,Sample 7,mouse_UTMPM,2/6/2019,76,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,2076023,758579,161940,7,9579,CT,L6 CT Cpa6,0.65,L6 CT Cpa6 (64.7%),,,,,,,,,,,
792,20190423_sample_8,20190423_slice_6,4/23/2019,Sample 8,mouse_UTMPM,2/6/2019,76,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1640316,649221,137117,7,9145,Pvalb,Pvalb Il1rapl2,0.56,Pvalb Il1rapl2 (55.6%),,,,,,,,,,,
793,20190423_sample_10,20190423_slice_8,4/23/2019,Sample 10,mouse_UTMPM,2/6/2019,76,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1299761,1481845,163273,7,10621,Pvalb,Pvalb Calb1_1,0.82,Pvalb Calb1_1 (82.1%),,,,,,,,,,,
794,20190424_sample_1,20190424_slice_1,4/24/2019,Sample 1,mouse_NCFRS,2/19/2019,64,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,782998,727437,105312,7,11456,CT,L6 CT Cpa6,0.78,L6 CT Cpa6 (78.4%),,,,,,,,,,,
795,20190424_sample_2,20190424_slice_2,4/24/2019,Sample 2,mouse_NCFRS,2/19/2019,64,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1011402,51816,68315,7,5672,Pvalb,Pvalb Calb1_1,0.43,Pvalb Calb1_1 (43.3%),,,,,,,,,,,
796,20190424_sample_3,20190424_slice_3,4/24/2019,Sample 3,mouse_NCFRS,2/19/2019,64,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1015481,1709244,173088,7,12296,CT,L6 CT Cpa6,0.88,L6 CT Cpa6 (88.3%),,,,,,,,,,,
797,20190424_sample_4,20190424_slice_4,4/24/2019,Sample 4,mouse_NCFRS,2/19/2019,64,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,4205117,129280,196613,7,11593,CT,L6 CT Pou3f2,0.98,L6 CT Pou3f2 (98.4%),L6 CT ALM Nxph2 Sla (100.0%),1747,727.11,Fede,10,1375.5,485.5,602.5,1662.9,y,
798,20190424_sample_5,20190424_slice_5,4/24/2019,Sample 5,mouse_NCFRS,2/19/2019,64,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1004540,967079,173364,7,10192,CT,L6 CT Pou3f2,0.54,L6 CT Pou3f2 (53.6%),,,,,,,,,,,
799,20190424_sample_6,20190424_slice_6,4/24/2019,Sample 6,mouse_NCFRS,2/19/2019,64,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,776824,884382,123905,7,7847,IT,L6 IT_2,0.82,L6 IT_2 (81.9%),,,,,,,,,,,
800,20190424_sample_7,20190424_slice_7,4/24/2019,Sample 7,mouse_NCFRS,2/19/2019,64,F,Pvalb-Cre/wt; Ai9/wt,1,1,PV-,1413984,804524,177976,7,10406,Lamp5,Lamp5 Pdlim5_1,0.82,Lamp5 Pdlim5_1 (81.6%),,,,,,,,,,,
801,20190425_sample_1,20190425_slice_1,4/25/2019,Sample 1,mouse_EOYBJ,12/24/2018,122,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,2609985,1659413,271084,7,13807,IT,L6 IT_2,0.81,L6 IT_2 (81.1%),,,,,,,,,,,
802,20190425_sample_4,20190425_slice_4,4/25/2019,Sample 4,mouse_EOYBJ,12/24/2018,122,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,452486,27523,35178,7,13593,Lamp5,Lamp5 Slc35d3,0.98,Lamp5 Slc35d3 (98.3%),Lamp5 Lsp1 (100.0%),2088,908.12,Fede,10,1167.2,427,538.5,1486.26,,
803,20190425_sample_6,20190425_slice_6,4/25/2019,Sample 6,mouse_EOYBJ,12/24/2018,122,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,821638,541394,73855,7,12244,Sst,Sst Pvalb Etv1,0.42,Sst Pvalb Etv1 (41.9%),,,,,,,,,,,
804,20190425_sample_7,20190425_slice_7,4/25/2019,Sample 7,mouse_EOYBJ,12/24/2018,122,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,958354,38238,59666,7,9905,IT,L6 IT_2,0.75,L6 IT_2 (75.4%),,,,,,,,,,,
805,20190425_sample_8,20190425_slice_8,4/25/2019,Sample 8,mouse_EOYBJ,12/24/2018,122,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1654867,1532159,129664,7,12019,CT,L6 CT Cpa6,0.4,L6 CT Cpa6 (40.4%),,,,,,,,,,,
806,20190425_sample_9,20190425_slice_9,4/25/2019,Sample 9,mouse_XRMEW,2/19/2019,65,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,2690691,714308,165460,7,8841,CT,L6 CT Cpa6,0.73,L6 CT Cpa6 (72.6%),,,,,,,,,,,
807,20190425_sample_12,20190425_slice_12,4/25/2019,Sample 12,mouse_XRMEW,2/19/2019,65,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1028297,1273589,149355,7,3286,CT,L6 CT Cpa6,0.49,L6 CT Cpa6 (48.6%),,,,,,,,,,,
808,20190425_sample_13,20190425_slice_13,4/25/2019,Sample 13,mouse_XRMEW,2/19/2019,65,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,717125,611100,124284,7,9178,CT,L6 CT Cpa6,0.57,L6 CT Cpa6 (57.1%),,,,,,,,,,,
809,20190425_sample_14,20190425_slice_14,4/25/2019,Sample 14,mouse_XRMEW,2/19/2019,65,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1810621,1555238,164812,7,5242,CT,L6 CT Cpa6,0.42,L6 CT Cpa6 (42.4%),,,,,,,,,,,
810,20190425_sample_16,20190425_slice_16,4/25/2019,Sample 16,mouse_XRMEW,2/19/2019,65,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1055870,745538,164152,7,10540,IT,L6 IT_2,0.77,L6 IT_2 (76.6%),,,,,,,,,,,
811,20190429_sample_1,20190429_slice_1,4/29/2019,Sample 1,mouse_XAVAR,2/26/2019,62,M,Pvalb-Cre/wt; Ai9/wt,6,5,PV+,2462602,1585935,229335,8,11724,Pvalb,Pvalb Reln,0.76,Pvalb Reln (76.0%),,,,,,,,,,,
812,20190429_sample_4,20190429_slice_4,4/29/2019,Sample 4,mouse_XAVAR,2/26/2019,62,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,3461141,1404590,215801,8,12490,Pvalb,Pvalb Calb1_2,0.5,Pvalb Calb1_2 (50.3%),,,,,,,,,,,
813,20190429_sample_5,20190429_slice_5,4/29/2019,Sample 5,mouse_XAVAR,2/26/2019,62,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1556417,1290228,143481,8,10980,Pvalb,Pvalb Kank4,0.76,Pvalb Kank4 (76.0%),,,,,,,,,,,
814,20190429_sample_6,20190429_slice_6,4/29/2019,Sample 6,mouse_XAVAR,2/26/2019,62,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1198158,77527,87808,8,4981,Pvalb,Pvalb Gpr149,0.88,Pvalb Gpr149 (88.1%),,,,,,,,,,,
815,20190429_sample_7,20190429_slice_7,4/29/2019,Sample 7,mouse_XAVAR,2/26/2019,62,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,1455611,1169020,151294,8,9936,CT,L6 CT Cpa6,0.93,L6 CT Cpa6 (92.6%),,,,,,,,,,,
816,20190430_sample_1,20190430_slice_1,4/30/2019,Sample 1,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,2356895,775134,178587,8,12781,Vip,Vip Mybpc1_3,0.91,Vip Mybpc1_3 (91.1%),,,,,,,,,,,
817,20190430_sample_3,20190430_slice_3,4/30/2019,Sample 3,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,721374,658637,97533,8,8458,Vip,Vip Mybpc1_2,0.95,Vip Mybpc1_2 (94.6%),,,,,,,,,,,
818,20190430_sample_4,20190430_slice_4,4/30/2019,Sample 4,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,1449192,776957,291260,8,11584,Vip,Vip Sncg,0.54,Vip Sncg (53.7%),,,,,,,,,,,
819,20190430_sample_5,20190430_slice_5,4/30/2019,Sample 5,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,2783862,795093,176882,8,10064,Vip,Vip Sncg,0.81,Vip Sncg (81.3%),,,,,,,,,,,
820,20190430_sample_6,20190430_slice_6,4/30/2019,Sample 6,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,1983326,424526,177964,8,10845,Vip,Vip Mybpc1_1,0.95,Vip Mybpc1_1 (95.3%),Vip Lmo1 Myl1 (98.0%),1593,266.55,Fede,25,366,132.5,523.5,1444.86,y,
821,20190430_sample_7,20190430_slice_7,4/30/2019,Sample 7,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP-,839403,1659563,260045,8,9739,IT,L4/5 IT_1,0.88,L4/5 IT_1 (88.3%),,,,,,,,,,,
822,20190430_sample_8,20190430_slice_8,4/30/2019,Sample 8,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP-,1091054,825552,142004,8,8708,Vip,Vip Serpinf1_3,0.79,Vip Serpinf1_3 (79.4%),,,,,,,,,,,
823,20190430_sample_9,20190430_slice_9,4/30/2019,Sample 9,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP-,2438358,150332,194306,8,12634,IT,L2/3 IT_3,0.88,L2/3 IT_3 (87.9%),,,,,,,,,,,
824,20190430_sample_10,20190430_slice_10,4/30/2019,Sample 10,mouse_OQKUZ,2/24/2019,65,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP-,2329852,1091966,223304,8,10424,IT,L4/5 IT_1,0.6,L4/5 IT_1 (60.3%),,,,,,,,,,,
825,20190501_sample_1,20190501_slice_1,5/1/2019,Sample 1,mouse_YVQMA,2/24/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,1916732,535453,129029,8,10145,Vip,Vip Mybpc1_2,0.99,Vip Mybpc1_2 (99.4%),Vip Crispld2 Htr2c (69.0%),,,,,,,,,,
826,20190501_sample_3,20190501_slice_3,5/1/2019,Sample 3,mouse_YVQMA,2/24/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,1952211,582274,159500,8,7621,Vip,Vip Mybpc1_2,0.82,Vip Mybpc1_2 (82.4%),,,,,,,,,,,
827,20190501_sample_4,20190501_slice_4,5/1/2019,Sample 4,mouse_YVQMA,2/24/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,1938020,1753277,216327,8,8755,Vip,Vip Mybpc1_2,0.77,Vip Mybpc1_2 (77.3%),,,,,,,,,,,
828,20190501_sample_5,20190501_slice_5,5/1/2019,Sample 5,mouse_YVQMA,2/24/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP-,1354043,543436,113149,8,10207,CT,L6 CT Pou3f2,0.73,L6 CT Pou3f2 (72.9%),,,,,,,,,,,
829,20190501_sample_6,20190501_slice_6,5/1/2019,Sample 6,mouse_YVQMA,2/24/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,1261442,1000473,199460,8,5749,Vip,Vip Sncg,0.85,Vip Sncg (85.3%),,,,,,,,,,,
830,20190501_sample_7,20190501_slice_7,5/1/2019,Sample 7,mouse_BICAU,1/1/2019,120,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1379479,70295,90986,8,13672,Pvalb,Pvalb Kank4,0.94,Pvalb Kank4 (93.6%),,,,,,,,,,,
831,20190501_sample_8,20190501_slice_8,5/1/2019,Sample 8,mouse_YVQMA,2/24/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,5,VIP+,1324868,1245044,202122,8,8529,Vip,Vip Mybpc1_1,0.84,Vip Mybpc1_1 (84.1%),,,,,,,,,,,
832,20190501_sample_9,20190501_slice_9,5/1/2019,Sample 9,mouse_BICAU,1/1/2019,120,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,517538,40990,54218,8,13107,Pvalb,Pvalb Calb1_1,0.62,Pvalb Calb1_1 (61.7%),,,,,,,,,,,
833,20190501_sample_11,20190501_slice_11,5/1/2019,Sample 11,mouse_BICAU,1/1/2019,120,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,1641357,2173397,238495,8,11140,Pvalb,Pvalb Il1rapl2,0.84,Pvalb Il1rapl2 (84.1%),,,,,,,,,,,
834,20190501_sample_12,20190501_slice_12,5/1/2019,Sample 12,mouse_BICAU,1/1/2019,120,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV-,832911,904933,156916,8,13303,IT,L5 IT_4,0.54,L5 IT_4 (53.7%),,,,,,,,,,,
835,20190501_sample_14,20190501_slice_14,5/1/2019,Sample 14,mouse_BICAU,1/1/2019,120,F,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,3466201,610535,183730,8,10695,Pvalb,Pvalb Gabrg1,1,Pvalb Gabrg1 (99.9%),Pvalb Gabrg1 (100.0%),1889,324.03,Fede,40,1302.5,450.1,605.9,1672.284,,
836,20190503_sample_1,20190503_slice_1,5/3/2019,Sample 1,mouse_PWFQE,1/11/2019,112,M,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,783391,381899,76482,8,7793,Vip,Vip Chat_2,0.69,Vip Chat_2 (69.1%),,,,,,,,,,,
837,20190503_sample_3,20190503_slice_3,5/3/2019,sample 3,mouse_PWFQE,1/11/2019,112,M,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,795175,35304,44231,8,6183,Vip,Vip Mybpc1_3,0.79,Vip Mybpc1_3 (79.1%),,,,,,,,,,,
838,20190506_sample_1,20190506_slice_1,5/6/2019,Sample 1,mouse_EFCUW,11/25/2018,162,M,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,875869,45869,63094,8,6267,Vip,Vip Mybpc1_2,0.99,Vip Mybpc1_2 (99.1%),Vip Crispld2 Kcne4 (57.0%),,,,,,,,,,
839,20190506_sample_2,20190506_slice_2,5/6/2019,Sample 2,mouse_EFCUW,11/25/2018,162,M,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,2598612,300356,129969,8,11564,Vip,Vip Mybpc1_1,0.57,Vip Mybpc1_1 (56.6%),,,,,,,,,,,
840,20190506_sample_3,20190506_slice_3,5/6/2019,Sample 3,mouse_EFCUW,11/25/2018,162,M,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,424754,404888,85151,8,9304,Vip,Vip Mybpc1_2,0.99,Vip Mybpc1_2 (98.6%),Vip Crispld2 Kcne4 (100.0%),1616,239.43,Fede,30,265.7,92.9,500.6,1381.656,,
841,20190506_sample_4,20190506_slice_4,5/6/2019,Sample 4,mouse_EFCUW,11/25/2018,162,M,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP-,1118848,50396,55172,8,6198,CT,L6 CT Pou3f2,0.57,L6 CT Pou3f2 (56.9%),,,,,,,,,,,
